Label.Bakker,SAMN,Label.SRA,year,collect,plot,CO2,plant,tissue,biol
FACE043,SAMN11840328,SRR9124791,Y17,2017-08-07,Y17_Plot2,Elevated,Y17_Plot2_10,spike,FACE
FACE044,SAMN11840329,SRR9124792,Y17,2017-08-07,Y17_Plot2,Elevated,Y17_Plot2_10,leaf,FACE
FACE047,SAMN11840332,SRR9124793,Y17,2017-08-07,Y17_Plot2,Elevated,Y17_Plot2_12,spike,FACE
FACE048,SAMN11840333,SRR9124794,Y17,2017-08-07,Y17_Plot2,Elevated,Y17_Plot2_12,leaf,FACE
FACE058,SAMN11840341,SRR9124795,Y17,2017-07-31,Y17_Plot3,Ambient,Y17_Plot3_05,leaf,FACE
FACE141,SAMN11840423,SRR9124796,Y17,2017-08-07,Y17_Plot6,Ambient,Y17_Plot6_11,spike,FACE
FACE140,SAMN11840422,SRR9124797,Y17,2017-08-07,Y17_Plot6,Ambient,Y17_Plot6_10,leaf,FACE
FACE137,SAMN11840419,SRR9124798,Y17,2017-08-07,Y17_Plot6,Ambient,Y17_Plot6_09,spike,FACE
FACE136,SAMN11840418,SRR9124799,Y17,2017-07-31,Y17_Plot6,Ambient,Y17_Plot6_08,leaf,FACE
FACE139,SAMN11840421,SRR9124800,Y17,2017-08-07,Y17_Plot6,Ambient,Y17_Plot6_10,spike,FACE
FACE138,SAMN11840420,SRR9124801,Y17,2017-08-07,Y17_Plot6,Ambient,Y17_Plot6_09,leaf,FACE
FACE133,SAMN11840415,SRR9124802,Y17,2017-07-31,Y17_Plot6,Ambient,Y17_Plot6_07,spike,FACE
FACE132,SAMN11840414,SRR9124803,Y17,2017-07-31,Y17_Plot6,Ambient,Y17_Plot6_06,leaf,FACE
FACE135,SAMN11840417,SRR9124804,Y17,2017-07-31,Y17_Plot6,Ambient,Y17_Plot6_08,spike,FACE
FACE134,SAMN11840416,SRR9124805,Y17,2017-07-31,Y17_Plot6,Ambient,Y17_Plot6_07,leaf,FACE
FACE268,SAMN11840538,SRR9124806,Y18,2018-07-31,Y18_Plot7,Elevated,Y18_Plot7_08,leaf,FACE
FACE173,SAMN11840539,SRR9124807,Y18,2018-07-10,Y18_Plot8,Ambient,Y18_Plot8_01,spike,FACE
FACE174,SAMN11840540,SRR9124808,Y18,2018-07-10,Y18_Plot8,Ambient,Y18_Plot8_01,spike,FACE
FACE175,SAMN11840541,SRR9124809,Y18,2018-07-10,Y18_Plot8,Ambient,Y18_Plot8_02,leaf,FACE
FACE236,SAMN11840534,SRR9124810,Y18,2018-07-24,Y18_Plot7,Elevated,Y18_Plot7_06,leaf,FACE
FACE265,SAMN11840535,SRR9124811,Y18,2018-07-31,Y18_Plot7,Elevated,Y18_Plot7_07,spike,FACE
FACE266,SAMN11840536,SRR9124812,Y18,2018-07-31,Y18_Plot7,Elevated,Y18_Plot7_07,spike,FACE
FACE267,SAMN11840537,SRR9124813,Y18,2018-07-31,Y18_Plot7,Elevated,Y18_Plot7_08,leaf,FACE
FACE057,SAMN11840340,SRR9124814,Y17,2017-07-31,Y17_Plot3,Ambient,Y17_Plot3_05,spike,FACE
